length,nSegments,instanceSpace,wdCount,bCount,zCount
5,2,4,0,0,0
5,3,6,0,0,0
5,4,4,0,0,0
6,2,5,0,0,0
6,3,10,0,0,0
6,4,10,0,0,0
6,5,5,0,0,0
7,2,6,0,0,0
7,3,15,0,0,0
7,4,20,0,0,0
7,5,15,0,0,0
7,6,6,0,0,0
8,2,7,0,0,0
8,3,21,0,0,0
8,4,35,0,0,0
8,5,35,0,0,0
8,6,21,0,0,0
8,7,7,0,0,0
9,2,8,0,0,0
9,3,28,2,2,0
9,4,56,0,0,0
9,5,70,0,0,0
9,6,56,0,0,0
9,7,28,0,0,0
9,8,8,0,0,0
10,2,9,0,0,0
10,3,36,2,2,0
10,4,84,4,4,0
10,5,126,0,0,0
10,6,126,0,0,0
10,7,84,0,0,0
10,8,36,0,0,0
10,9,9,0,0,0
11,2,10,0,0,0
11,3,45,2,2,0
11,4,120,8,8,0
11,5,210,6,6,0
11,6,252,0,0,0
11,7,210,0,0,0
11,8,120,0,0,0
11,9,45,0,0,0
11,10,10,0,0,0
12,2,11,0,0,0
12,3,55,4,4,0
12,4,165,16,16,0
12,5,330,18,18,0
12,6,462,8,8,0
12,7,462,0,0,0
12,8,330,0,0,0
12,9,165,0,0,0
12,10,55,0,0,0
12,11,11,0,0,0
13,2,12,0,0,0
13,3,66,8,8,0
13,4,220,30,30,0
13,5,495,43,43,0
13,6,792,32,32,0
13,7,924,10,10,0
13,8,792,0,0,0
13,9,495,0,0,0
13,10,220,0,0,0
13,11,66,0,0,0
13,12,12,0,0,0
14,2,13,0,0,0
14,3,78,10,10,0
14,4,286,48,48,0
14,5,715,105,105,0
14,6,1287,90,90,0
14,7,1716,50,50,0
14,8,1716,12,12,0
14,9,1287,0,0,0
14,10,715,0,0,0
14,11,286,0,0,0
14,12,78,0,0,0
14,13,13,0,0,0
15,2,14,0,0,0
15,3,91,10,10,0
15,4,364,68,68,0
15,5,1001,195,195,0
15,6,2002,250,250,0
15,7,3003,163,163,0
15,8,3432,72,72,0
15,9,3003,14,14,0
15,10,2002,0,0,0
15,11,1001,0,0,0
15,12,364,0,0,0
15,13,91,0,0,0
15,14,14,0,0,0
16,2,15,0,0,0
16,3,105,12,12,0
16,4,455,92,92,0
16,5,1365,309,309,0
16,6,3003,552,552,0
16,7,5005,499,499,0
16,8,6435,268,268,0
16,9,6435,98,98,0
16,10,5005,16,16,0
16,11,3003,0,0,0
16,12,1365,0,0,0
16,13,455,0,0,0
16,14,105,0,0,0
16,15,15,0,0,0
17,2,16,0,0,0
17,3,120,18,18,0
17,4,560,130,130,0
17,5,1820,447,447,0
17,6,4368,1014,1014,0
17,7,8008,1264,1264,0
17,8,11440,894,894,0
17,9,12870,411,411,0
17,10,11440,128,128,0
17,11,8008,18,18,0
17,12,4368,0,0,0
17,13,1820,0,0,0
17,14,560,0,0,0
17,15,120,0,0,0
17,16,16,0,0,0
18,2,17,0,0,0
18,3,136,22,22,0
18,4,680,184,184,0
18,5,2380,644,644,0
18,6,6188,1665,1665,0
18,7,12376,2636,2636,0
18,8,19448,2526,2526,0
18,9,24310,1485,1485,0
18,10,24310,598,598,0
18,11,19448,162,162,0
18,12,12376,20,20,0
18,13,6188,0,0,0
18,14,2380,0,0,0
18,15,680,0,0,0
18,16,136,0,0,0
18,17,17,0,0,0
19,2,18,0,0,0
19,3,153,24,24,0
19,4,816,244,244,0
19,5,3060,941,941,0
19,6,8568,2572,2572,0
19,7,18564,4882,4882,0
19,8,31824,5898,5898,0
19,9,43758,4595,4595,0
19,10,48620,2330,2330,0
19,11,43758,835,835,0
19,12,31824,200,200,0
19,13,18564,22,22,0
19,14,8568,0,0,0
19,15,3060,0,0,0
19,16,816,0,0,0
19,17,153,0,0,0
19,18,18,0,0,0
20,2,19,0,0,0
20,3,171,26,26,0
20,4,969,300,300,0
20,5,3876,1352,1352,0
20,6,11628,3871,3871,0
20,7,27132,8323,8323,0
20,8,50388,12100,12100,0
20,9,75582,11847,11847,0
20,10,92378,7800,7800,0
20,11,92378,3495,3495,0
20,12,75582,1128,1128,0
20,13,50388,242,242,0
20,14,27132,24,24,0
20,15,11628,0,0,0
20,16,3876,0,0,0
20,17,969,0,0,0
20,18,171,0,0,0
20,19,19,0,0,0
