length,nSegments,instanceSpace,wdCount,bCount,zCount
5,2,4,2,0,0
5,3,6,0,0,0
5,4,4,0,0,0
6,2,5,0,0,0
6,3,10,4,0,0
6,4,10,0,0,0
6,5,5,0,0,0
7,2,6,0,0,0
7,3,15,9,0,0
7,4,20,6,0,0
7,5,15,0,0,0
7,6,6,0,0,0
8,2,7,2,2,0
8,3,21,14,0,0
8,4,35,19,0,0
8,5,35,8,0,0
8,6,21,0,0,0
8,7,7,0,0,0
9,2,8,4,4,0
9,3,28,4,4,0
9,4,56,38,0,0
9,5,70,33,0,0
9,6,56,10,0,0
9,7,28,0,0,0
9,8,8,0,0,0
10,2,9,5,5,0
10,3,36,12,12,0
10,4,84,63,6,0
10,5,126,82,0,0
10,6,126,51,0,0
10,7,84,12,0,0
10,8,36,0,0,0
10,9,9,0,0,0
11,2,10,2,6,0
11,3,45,21,21,0
11,4,120,96,24,0
11,5,210,157,8,0
11,6,252,152,0,0
11,7,210,73,0,0
11,8,120,14,0,0
11,9,45,0,0,0
11,10,10,0,0,0
12,2,11,4,7,0
12,3,55,31,31,0
12,4,165,55,55,0
12,5,330,266,40,0
12,6,462,336,10,0
12,7,462,254,0,0
12,8,330,99,0,0
12,9,165,16,0,0
12,10,55,0,0,0
12,11,11,0,0,0
13,2,12,6,8,0
13,3,66,41,41,0
13,4,220,100,100,0
13,5,495,419,113,0
13,6,792,634,60,0
13,7,924,642,12,0
13,8,792,394,0,0
13,9,495,129,0,0
13,10,220,18,0,0
13,11,66,0,0,0
13,12,12,0,0,0
14,2,13,2,9,0
14,3,78,51,51,0
14,4,286,158,158,0
14,5,715,626,245,0
14,6,1287,1092,201,0
14,7,1716,1348,84,0
14,8,1716,1125,14,0
14,9,1287,578,0,0
14,10,715,163,0,0
14,11,286,20,0,0
14,12,78,0,0,0
14,13,13,0,0,0
15,2,14,4,10,0
15,3,91,62,62,0
15,4,364,228,228,0
15,5,1001,452,452,0
15,6,2002,1766,506,0
15,7,3003,2531,325,0
15,8,3432,2618,112,0
15,9,3003,1843,16,0
15,10,2002,812,0,0
15,11,1001,201,0,0
15,12,364,22,0,0
15,13,91,0,0,0
15,14,14,0,0,0
16,2,15,6,11,0
16,3,105,51,74,0
16,4,455,310,310,0
16,5,1365,748,748,0
16,6,3003,2722,1067,0
16,7,5005,4412,931,0
16,8,6435,5349,491,0
16,9,6435,4726,144,0
16,10,5005,2862,18,0
16,11,3003,1102,0,0
16,12,1365,243,0,0
16,13,455,24,0,0
16,14,105,0,0,0
16,15,15,0,0,0
17,2,16,8,12,0
17,3,120,66,87,0
17,4,560,404,404,0
17,5,1820,1142,1142,0
17,6,4368,4038,1992,0
17,7,8008,7277,2207,0
17,8,11440,10024,1576,0
17,9,12870,10484,705,0
17,10,11440,8036,180,0
17,11,8008,4256,20,0
17,12,4368,1454,0,0
17,13,1820,289,0,0
17,14,560,26,0,0
17,15,120,0,0,0
17,16,16,0,0,0
18,2,17,9,13,0
18,3,136,81,101,0
18,4,680,512,512,0
18,5,2380,1638,1638,0
18,6,6188,3391,3391,0
18,7,12376,11489,4585,0
18,8,19448,17642,4146,0
18,9,24310,21080,2505,0
18,10,24310,19297,973,0
18,11,19448,13004,220,0
18,12,12376,6107,22,0
18,13,6188,1874,0,0
18,14,2380,339,0,0
18,15,680,28,0,0
18,16,136,0,0,0
18,17,17,0,0,0
19,2,18,6,14,0
19,3,153,96,116,0
19,4,816,636,636,0
19,5,3060,2246,2246,0
19,6,8568,5362,5362,0
19,7,18564,17502,8615,0
19,8,31824,29564,9480,0
19,9,43758,39494,7238,0
19,10,48620,41554,3790,0
19,11,43758,33682,1301,0
19,12,31824,20188,264,0
19,13,18564,8505,24,0
19,14,8568,2368,0,0
19,15,3060,393,0,0
19,16,816,30,0,0
19,17,153,0,0,0
19,18,18,0,0,0
20,2,19,8,15,0
20,3,171,111,132,0
20,4,969,777,777,0
20,5,3876,2982,2982,0
20,6,11628,8005,8005,0
20,7,27132,25875,14929,0
20,8,50388,47605,19479,0
20,9,75582,70076,18054,0
20,10,92378,82716,11927,0
20,11,92378,77522,5511,0
20,12,75582,56188,1695,0
20,13,50388,30258,312,0
20,14,27132,11548,26,0
20,15,11628,2942,0,0
20,16,3876,451,0,0
20,17,969,32,0,0
20,18,171,0,0,0
20,19,19,0,0,0
